1 []
2 []
3 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=407'], ['truck: 98%', 'Left=4,', 'Top=195,', 'Right=292,', 'Bottom=485'], ['person: 65%', 'Left=286,', 'Top=347,', 'Right=447,', 'Bottom=506'], ['motorbike: 60%', 'Left=946,', 'Top=235,', 'Right=1089,', 'Bottom=357']]
4 [['motorbike: 99%', 'Left=798,', 'Top=244,', 'Right=944,', 'Bottom=406'], ['truck: 96%', 'Left=5,', 'Top=196,', 'Right=292,', 'Bottom=486'], ['motorbike: 75%', 'Left=219,', 'Top=402,', 'Right=432,', 'Bottom=551'], ['person: 59%', 'Left=299,', 'Top=344,', 'Right=417,', 'Bottom=509'], ['motorbike: 59%', 'Left=964,', 'Top=230,', 'Right=1063,', 'Bottom=364']]
5 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=944,', 'Bottom=406'], ['truck: 95%', 'Left=7,', 'Top=197,', 'Right=292,', 'Bottom=488'], ['person: 60%', 'Left=230,', 'Top=344,', 'Right=396,', 'Bottom=510'], ['motorbike: 61%', 'Left=965,', 'Top=230,', 'Right=1063,', 'Bottom=364']]
6 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=945,', 'Bottom=405'], ['truck: 91%', 'Left=8,', 'Top=197,', 'Right=292,', 'Bottom=491'], ['person: 69%', 'Left=180,', 'Top=342,', 'Right=358,', 'Bottom=522'], ['motorbike: 60%', 'Left=965,', 'Top=231,', 'Right=1063,', 'Bottom=363']]
7 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=406'], ['truck: 86%', 'Left=8,', 'Top=199,', 'Right=291,', 'Bottom=493'], ['person: 62%', 'Left=143,', 'Top=341,', 'Right=317,', 'Bottom=522'], ['motorbike: 61%', 'Left=949,', 'Top=235,', 'Right=1090,', 'Bottom=356']]
8 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=406'], ['person: 74%', 'Left=132,', 'Top=340,', 'Right=300,', 'Bottom=521'], ['truck: 76%', 'Left=5,', 'Top=200,', 'Right=289,', 'Bottom=495'], ['motorbike: 64%', 'Left=950,', 'Top=235,', 'Right=1091,', 'Bottom=356']]
9 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=945,', 'Bottom=406'], ['person: 64%', 'Left=88,', 'Top=343,', 'Right=266,', 'Bottom=520'], ['truck: 68%', 'Left=1,', 'Top=198,', 'Right=288,', 'Bottom=496'], ['motorbike: 66%', 'Left=972,', 'Top=229,', 'Right=1112,', 'Bottom=352']]
10 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=945,', 'Bottom=406'], ['truck: 69%', 'Left=0,', 'Top=198,', 'Right=290,', 'Bottom=490'], ['motorbike: 68%', 'Left=972,', 'Top=229,', 'Right=1112,', 'Bottom=352']]
91 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=944,', 'Bottom=403'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=484'], ['motorbike: 65%', 'Left=951,', 'Top=233,', 'Right=1089,', 'Bottom=356']]
92 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=484'], ['motorbike: 69%', 'Left=951,', 'Top=233,', 'Right=1089,', 'Bottom=356']]
93 [['motorbike: 99%', 'Left=798,', 'Top=244,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=484'], ['motorbike: 69%', 'Left=952,', 'Top=233,', 'Right=1089,', 'Bottom=356']]
94 [['motorbike: 99%', 'Left=798,', 'Top=244,', 'Right=945,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=193,', 'Right=285,', 'Bottom=484'], ['motorbike: 70%', 'Left=951,', 'Top=233,', 'Right=1089,', 'Bottom=356']]
95 [['motorbike: 99%', 'Left=798,', 'Top=244,', 'Right=945,', 'Bottom=404'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=285,', 'Bottom=484'], ['motorbike: 69%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=363']]
96 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=945,', 'Bottom=405'], ['truck: 98%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=484'], ['motorbike: 68%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=363']]
97 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=945,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=193,', 'Right=285,', 'Bottom=484'], ['motorbike: 68%', 'Left=963,', 'Top=229,', 'Right=1062,', 'Bottom=363']]
98 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=193,', 'Right=285,', 'Bottom=485'], ['motorbike: 69%', 'Left=949,', 'Top=233,', 'Right=1088,', 'Bottom=357']]
99 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=944,', 'Bottom=403'], ['truck: 99%', 'Left=3,', 'Top=193,', 'Right=285,', 'Bottom=485'], ['motorbike: 69%', 'Left=963,', 'Top=229,', 'Right=1062,', 'Bottom=363']]
100 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=944,', 'Bottom=403'], ['truck: 99%', 'Left=4,', 'Top=193,', 'Right=285,', 'Bottom=485'], ['motorbike: 69%', 'Left=963,', 'Top=229,', 'Right=1062,', 'Bottom=363']]
